部位,系統(目安),種目(元),出現,自動代表名,自動寄せ,確定代表名(ここを編集)
"(不明)","(その他)","種目","1","種目","","種目"
"(不明)","ウォームアップ","できトレでアップ","7","できトレでアップ","","できトレでアップ"
"(不明)","カール系","ケーブルカール","3","ケーブルカール","","ケーブルカール"
"(不明)","カール系","プリチャーカール","2","プリチャーカール","","プリチャーカール"
"(不明)","ショルダープレス系","フロントスミスショルダープレス","4","フロントスミスショルダープレス","","フロントスミスショルダープレス"
"(不明)","ショルダープレス系","アーノルドショルダープレス","4","アーノルドショルダープレス","","アーノルドショルダープレス"
"(不明)","ショルダープレス系","スミスショルダープレス","3","スミスショルダープレス","","スミスショルダープレス"
"(不明)","ストレッチ系","ストレッチ等","3","ストレッチ等","","ストレッチ等"
"(不明)","ストレッチ系","全身ストレッチ(呼吸はゆっくり吸って吐く)","2","全身ストレッチ(呼吸はゆっくり吸って吐く)","","全身ストレッチ(呼吸はゆっくり吸って吐く)"
"(不明)","プルオーバー系","ケーブルプルオーバー","3","ケーブルプルオーバー","","ケーブルプルオーバー"
"(不明)","プルダウン系","フロントプルダウン","3","フロントプルダウン","","フロントプルダウン"
"(不明)","レッグカール系","ダンベルレッグカール","3","ダンベルレッグカール","","ダンベルレッグカール"
"(不明)","ローイング系","シーデットロウ","4","シーデットロウ","","シーデットロウ"
"(不明)","ローイング系","シーテッドローイング","3","シーテッドローイング","","シーテッドローイング"
"(不明)","ローイング系","アップライトロウ","2","アップライトロウ","","アップライトロウ"
"(不明)","三頭系","トライセプスプレスダウン","3","トライセプスプレスダウン","","トライセプスプレスダウン"
"(不明)","三頭系","ケーブルトライセプスエクステンション","3","ケーブルトライセプスエクステンション","","ケーブルトライセプスエクステンション"
"(不明)","懸垂系","助走OK懸垂","2","助走OK懸垂","","助走OK懸垂"
"(不明)","懸垂系","逆手懸垂","1","逆手懸垂","","逆手懸垂"
"(不明)","有酸素系","有酸素運動(分けても可)","12","有酸素運動(分けても可)","","有酸素運動(分けても可)"
"(不明)","有酸素系","持久系トレニング","2","持久系トレニング","","持久系トレニング"
"(不明)","有酸素系","HIIT","1","HIIT","","HIIT"
"(不明)","胸プレス系","インクラインスミスプレス","4","インクラインスミスプレス","","インクラインスミスプレス"
"お尻","尻ヒンジ系","片脚ヒップスラスト","14","片脚ヒップスラスト","","片脚ヒップスラスト"
"肩","(その他)","ペットボトルでリアドレイズ","7","ペットボトルでリアドレイズ","","ペットボトルでリアドレイズ"
"肩","(その他)","ダンベルダープレス","3","ダンベルダープレス","","ダンベルダープレス"
"肩","(その他)","ショルダプレス","1","ショルダープレス","寄せ済","ショルダープレス"
"肩","(その他)","アームサークル","1","アームサークル","","アームサークル"
"肩","カーフ系","ダンベルカーフレイズ","4","ダンベルカーフレイズ","","ダンベルカーフレイズ"
"肩","サイドレイズ系","サイドレイズ","208","サイドレイズ","","サイドレイズ"
"肩","サイドレイズ系","ペットボトルでサイドレイズ","164","ペットボトルでサイドレイズ","寄せ済","ペットボトルでサイドレイズ"
"肩","サイドレイズ系","ダンベルサイドレイズ","75","ダンベルサイドレイズ","","ダンベルサイドレイズ"
"肩","サイドレイズ系","ペットボトルサイドレイズ","11","ペットボトルサイドレイズ","","ペットボトルサイドレイズ"
"肩","サイドレイズ系","サイドレイズ⇒リアレイズ","4","サイドレイズ⇒リアレイズ","","サイドレイズ⇒リアレイズ"
"肩","サイドレイズ系","マシーンサイドレイズ","3","マシーンサイドレイズ","","マシーンサイドレイズ"
"肩","サイドレイズ系","ダンベルでサイドレイズ","3","ダンベルでサイドレイズ","","ダンベルでサイドレイズ"
"肩","サイドレイズ系","ペットボトルでサイドレイズ(水入れる)","1","ペットボトルでサイドレイズ","寄せ済","ペットボトルでサイドレイズ"
"肩","サイドレイズ系","ショルダープレス(サイドレイズ)","1","ショルダープレス","寄せ済","ショルダープレス"
"肩","サイドレイズ系","器具なしサイドレイズ","1","器具なしサイドレイズ","","器具なしサイドレイズ"
"肩","サイドレイズ系","リアレイズサイドレイズ","1","リアレイズサイドレイズ","","リアレイズサイドレイズ"
"肩","ショルダープレス系","ダンベルショルダープレス","220","ダンベルショルダープレス","","ダンベルショルダープレス"
"肩","ショルダープレス系","ペットボトルでショルダープレス","134","ペットボトルでショルダープレス","","ペットボトルでショルダープレス"
"肩","ショルダープレス系","ショルダープレス","88","ショルダープレス","寄せ済","ショルダープレス"
"肩","ショルダープレス系","フロアショルダープレス","32","フロアショルダープレス","寄せ済","フロアショルダープレス"
"肩","ショルダープレス系","フロアーショルダープレス","29","フロアショルダープレス","寄せ済","フロアショルダープレス"
"肩","ショルダープレス系","バーベルオーバヘッドプレス","8","バーベルオーバヘッドプレス","","バーベルオーバヘッドプレス"
"肩","ショルダープレス系","膝つきフロアショルダープレス","8","膝つきフロアショルダープレス","","膝つきフロアショルダープレス"
"肩","ショルダープレス系","マシーンショルダープレス","6","マシーンショルダープレス","","マシーンショルダープレス"
"肩","ショルダープレス系","アップ⇨ショルダープレス","6","アップ⇨ショルダープレス","","アップ⇨ショルダープレス"
"肩","ショルダープレス系","ダンベルでショルダープレス","3","ダンベルでショルダープレス","","ダンベルでショルダープレス"
"肩","ショルダープレス系","器具なしショルダープレス","1","器具なしショルダープレス","","器具なしショルダープレス"
"肩","ショルダープレス系","ペットボトルショルダープレス","1","ペットボトルショルダープレス","","ペットボトルショルダープレス"
"肩","リアレイズ系","リアレイズ","18","リアレイズ","","リアレイズ"
"肩","リアレイズ系","ダンベルリアレイズ","11","ダンベルリアレイズ","","ダンベルリアレイズ"
"背中","カール系","リバースグリップクリーチャーカール","1","リバースグリップクリーチャーカール","","リバースグリップクリーチャーカール"
"背中","シュラッグ系","シュラッグ","2","シュラッグ","","シュラッグ"
"背中","プルオーバー系","ダンベルプルオーバー","32","ダンベルプルオーバー","寄せ済","ダンベルプルオーバー"
"背中","プルオーバー系","ダンベルプルオーバー(ローイング)","1","ダンベルプルオーバー","寄せ済","ダンベルプルオーバー"
"背中","プルダウン系","ラットプルダウン","180","ラットプルダウン","","ラットプルダウン"
"背中","プルダウン系","プルダウン","13","プルダウン","","プルダウン"
"背中","プルダウン系","アップ⇨ラットプルダウン","9","アップ⇨ラットプルダウン","","アップ⇨ラットプルダウン"
"背中","プルダウン系","エアプルダウン","2","エアプルダウン","","エアプルダウン"
"背中","プルダウン系","逆手ラットプルダウン","1","逆手ラットプルダウン","","逆手ラットプルダウン"
"背中","レッグEX系","レッグエクステンション","17","レッグエクステンション","","レッグエクステンション"
"背中","ローイング系","ペットボトルでローイング","490","ペットボトルでローイング","","ペットボトルでローイング"
"背中","ローイング系","ダンベルローイング","474","ダンベルローイング","","ダンベルローイング"
