品名,1単位g,kcal,P,F,C,方式,対応レシピ(特典)・備考,材料(のり特典より)
高たんぱくチーズケーキ 1切れ,80,110,12,4,6,概算・採用確定(2026-08-18きよむ判断),最強のチーズケーキ 1切れ(4等分),
ダイエットティラミス 1人前,120,130,15,3,10,概算・採用確定(2026-08-18きよむ判断),ティラミス,バナナ（1本） / オイコス無糖18g（1個） / カッテージチーズ うらごしタイプ（200g） / 純ココアパウダー（大さじ1）
プロテインチョコバナナパンケーキ 1人前,200,464,38,11,52,のり公称+PFC按分,プロテインチョコバナナパンケーキ(464kcal公称),バナナ（2本） / 片栗粉（15g） / 飲むたんぱく質（30g） / 卵（1個） / ココアパウダー（大さじ1） / 水（180ml） / サイリウム（5g）
バナナチョコケーキ 1切れ,80,95,8.3,2.6,9.5,概算・採用確定(2026-08-18きよむ判断),チョコバナナケーキ 1切れ(6等分),
プロテインチョコアイスケーキ 1人前,100,120,10.5,3.3,12,概算・採用確定(2026-08-18きよむ判断),,
コーヒーゼリー(糖質ゼロ) 1個,120,15,3,0,0.5,概算・採用確定(2026-08-18きよむ判断),,
炊飯器かぼちゃケーキ 1切れ,80,110,5,2.5,18,概算・採用確定(2026-08-18きよむ判断),,
腸活豆乳ヨーグルトボウル 1杯,180,160,8,5,22,概算・採用確定(2026-08-18きよむ判断),豆乳ヨーグルトボウル,豆乳ヨーグルト（200g） / 純ココアパウダー（大さじ1） / バナナ（1本）
焼き餅ココア 1人前,80,190,4,1.5,40,概算・採用確定(2026-08-18きよむ判断),,
オートミールクッキー 3枚,45,150,6,5,20,概算・採用確定(2026-08-18きよむ判断),,
ヘルシーチョコスプレッド 大さじ1,15,20,1.8,0.6,2,概算・採用確定(2026-08-18きよむ判断),,
プロテインゼリー 1個,150,70,13,0.5,2,概算・採用確定(2026-08-18きよむ判断),,
きなこ餅(食物繊維) 1人前,100,143,5,3,19,のり公称,1日分の食物繊維きなこ餅,おからパウダー 15g / サイリウム 8g / きな粉 10g（3分割） / 蜂蜜 15g（3分割） / 水 200ml
揚げないフライドポテト 1人前,120,100,2.2,3.1,16,概算・採用確定(2026-08-18きよむ判断),,
鶏むねと白滝の担々麺 1人前,400,350,35,15,18,概算・採用確定(2026-08-18きよむ判断),,
野菜カレー蕎麦 1人前,400,420,18,6,75,概算・採用確定(2026-08-18きよむ判断),,
のり流野菜カレー 1人前,300,280,25,8,28,概算・採用確定(2026-08-18きよむ判断),,
オートミールピザ 1枚,150,280,16,10,30,概算・採用確定(2026-08-18きよむ判断),,
豆腐お好み焼き 1枚,250,300,20,12,26,概算・採用確定(2026-08-18きよむ判断),,
5割麦ごはん 茶碗1杯,150,204,4.5,0.8,42.7,のり公称換算,5割麦ごはん(1合449kcalを茶碗150gへ按分),大麦1：白米1の割合 / ※1合炊く場合は大麦カップ半分・白米カップ半分で水を1合メモリより少し多めに入れる
玄米キムチ焼きめし 1人前,300,420,14,10,65,概算・採用確定(2026-08-18きよむ判断),,
栄養満点炊き込みご飯 茶碗1杯,180,250,8,2,50,概算・採用確定(2026-08-18きよむ判断),,
牛モモチャーハン 1人前,300,450,28,12,55,概算・採用確定(2026-08-18きよむ判断),,
オートミール豆乳卵雑炊 1杯,300,260,17,9,28,概算・採用確定(2026-08-18きよむ判断),,
サバ水煮缶の焼うどん 1人前,350,450,28,14,50,概算・採用確定(2026-08-18きよむ判断),サバ水煮缶の焼うどん,うどん 1〜2玉 / カット野菜 1袋 / カットしめじ 1/2袋 / ささみ or 鶏胸肉 100g / 鯖缶 1缶 / 水 300cc / 和風顆粒だし 小さじ1 / しょうゆ 大さじ1 / しょうがチューブ 少々 / オリーブオイル 少々
卵のあんかけ野菜うどん 1人前,450,380,18,8,58,概算・採用確定(2026-08-18きよむ判断),卵のあんかけ野菜うどん,うどん 1〜2玉 / カット野菜 1袋 / カットしめじ 1/2袋 / ささみ or 鶏胸肉 200g / 卵 3個 / めんつゆ / 水 300cc / めんつゆ 大さじ2 / みりん 大さじ1 / 酒 大さじ1 / しょうがチューブ 少々
麻薬鶏むねチャーシュー 1人前,120,144,27.6,3.6,0,のり公称換算,各種チャーシュー(100g=120kcal×120g),鶏むね肉 600g / 豚ヒレ 200g / 牛モモ 200g / 醤油 大さじ1 / お酒 大さじ1 / にんにく 小さじ1 / 生姜 小さじ1 / 鶏ガラの素 小さじ1 / 七味 少々 / 黒コショウ 少々
豚ひれチャーシュー 1人前,120,144,26,4,1,のり公称換算,各種チャーシュー(100g=120kcal×120g),鶏むね肉 600g / 豚ヒレ 200g / 牛モモ 200g / 醤油 大さじ1 / お酒 大さじ1 / にんにく 小さじ1 / 生姜 小さじ1 / 鶏ガラの素 小さじ1 / 七味 少々 / 黒コショウ 少々
鶏むね麻婆豆腐 1人前,220,250,30,8,10,概算・採用確定(2026-08-18きよむ判断),,
鶏むねの焼きつくね 1人前,120,160,22,5,6,概算・採用確定(2026-08-18きよむ判断),,
マグロアボカド 1人前,120,422,41,28,4,のり公称,マグロアボカド,アボカド 1個 / マグロ 150g / 醤油 少々 / ワサビ 少々
のり流卵焼き 2切れ,80,234,20,17,0,のり公称,卵焼き(1食分),卵 3個 / オリーブオイル 適量 / 白だし 小さじ2杯
キクラゲときゅうりの中華風リンゴ酢和え 1人前,100,40,1.5,2,4,概算・採用確定(2026-08-18きよむ判断),キクラゲときゅうりの中華風リンゴ酢和え(2人前を1人前へ),蒸しキクラゲ 50g（乾燥なら5g） / きゅうり 1本 / リンゴ酢 大さじ1 / 醤油 大さじ1 / ごま油 小さじ1 / ラカント or 砂糖 少々 / 白ごま 適量
鶏むねとキクラゲのリンゴ酢蒸し 1人前,180,180,28,3,8,概算・採用確定(2026-08-18きよむ判断),鶏むね肉とキクラゲのリンゴ酢蒸し(同上),鶏むね肉 200g / 蒸しキクラゲ 50g / 玉ねぎ 1/4個 / 酒 大さじ1 / リンゴ酢 大さじ1 / 醤油 大さじ1 / おろし生姜 小さじ1 / 小ねぎ 適量
キクラゲと豚もものスタミナ炒め 1人前,180,220,24,10,8,概算・採用確定(2026-08-18きよむ判断),(同上),
キクラゲと豚もも・キムチの韓国風炒め 1人前,180,230,23,11,9,概算・採用確定(2026-08-18きよむ判断),(同上),
キクラゲと鶏むね・パプリカの甘酢炒め 1人前,180,200,26,4,14,概算・採用確定(2026-08-18きよむ判断),キクラゲと鶏むね・パプリカの黒酢風甘酢炒め(同上),鶏むね肉 200g / 蒸しキクラゲ 50g / パプリカ（赤・黄） 各1/2個 / 玉ねぎ 1/4個 / 片栗粉 大さじ1 / リンゴ酢 大さじ2 / 醤油 大さじ1 / ラカント or 砂糖 大さじ1 / ケチャップ 大さじ1 / ごま油 小さじ1
鶏むねとブロッコリーの塩炒め 1人前,180,210,30,6,6,概算・採用確定(2026-08-18きよむ判断),,
大豆ミートと卵白のオムレツ風 1人前,150,140,20,4,6,概算・採用確定(2026-08-18きよむ判断),,
タラの蒸し焼きポン酢おろし 1人前,150,100,16,1,6,概算・採用確定(2026-08-18きよむ判断),,
ささみと枝豆のねぎ塩レンジ蒸し 1人前,150,160,25,4,5,概算・採用確定(2026-08-18きよむ判断),,
そば納豆チキンサラダ 1人前,300,380,30,8,48,概算・採用確定(2026-08-18きよむ判断),,
ライ麦パン×オイコス×ツナ 1人前,180,290,28,5,32,概算・採用確定(2026-08-18きよむ判断),,
ダイエットスープ 1杯,300,120,10,3,14,概算・採用確定(2026-08-18きよむ判断),,
