品名,1単位g,kcal,P,F,C,根拠
飲むたんぱく質(ココア) 1杯,30,115,22.4,1.6,3.6,実物ラベル(ボディーチェンジャー・2026-08)
スピルリナ 1回分(40粒),8,29,4.6,0.6,1.9,乾燥スピルリナ一般値
グルタミン 1回分,5,20,5.0,0,0,アミノ酸粉末の一般値
低糖質クロワッサン 1個,40,105,4.0,6.0,9.0,市販平均
ガリガリくん(ソーダ) 1本,105,64,0,0,16.5,公称値(2026-08)
あたりめ 10g,10,30,6.9,0.4,0,成分表10353(するめ)より換算
ヤクルト1000 1本,100,63,1.4,0.1,14.1,公称値(2026-08)
メロン 1/8個,100,45,1.0,0.1,10.4,成分表07135(露地メロン)
高菜漬け 小鉢1,30,9,0.6,0.2,1.9,成分表06196(たかな漬)より換算
ささみ缶(水煮) 1缶,70,48,11.0,0.5,0.3,大手公称の平均
オイコス プレーン(無糖) 1個,113,92,12.4,0,5.2,公称値(2026-08)
ザバス ミルクプロテイン 1本,200,102,15.0,0,10.4,公称値(2026-08)
マウントレーニア カフェラッテ 1本,240,148,5.2,8.2,13.6,公称値(2026-08)
ベビースターラーメン ミニ 1袋,21,107,2.2,4.7,14.2,公称値(2026-08)
リポビタンD 1本,100,74,0,0,18.5,公称値(2026-08)
一本満足バー プロテイン 1本,39,183,15.0,8.5,12.1,公称値(チョコ・2026-08)
inバー プロテイン 1本,34,165,15.9,8.4,6.6,公称値(ベイクドチョコ・2026-08)
R-1 ドリンク 1本,112,79,3.4,0.7,15.1,公称値(2026-08)
蒟蒻畑 1個,25,26,0,0,6.5,公称値(ぶどう・2026-08)
ナッシュ弁当 1食(平均),300,354,17.5,21.5,24.7,nosh公式88品の平均(2026-08時点)
チリハンバーグステーキ(ナッシュ) 1食,300,380,16.0,25.6,23.2,nosh menu id=1084
おろしソースのハンバーグ(ナッシュ) 1食,300,300,14.3,16.5,27.4,nosh menu id=772
オニオングリルハンバーグ(ナッシュ) 1食,300,400,17.4,27.0,23.8,nosh menu id=1083
ポルチーニ香る！銀鮭の具沢山クリーム仕立て(ナッシュ) 1食,300,336,21.6,22.5,14.2,nosh menu id=841
ハンバーグと彩り温野菜のデミ(ナッシュ) 1食,300,362,17.0,21.1,27.4,nosh menu id=845
きのことチーズのトマトハンバーグ(ナッシュ) 1食,300,366,19.5,22.2,23.0,nosh menu id=856
たらフライの特製タルタルソース(ナッシュ) 1食,300,418,19.0,26.5,26.8,nosh menu id=861
とろ～り半熟卵のトマトリゾット(ナッシュ) 1食,300,259,10.3,12.1,28.4,nosh menu id=884
懐かしの和風チーズデミカツ(ナッシュ) 1食,300,391,17.7,21.5,35.0,nosh menu id=886
鶏もも肉の炭火焼き〜極〜(ナッシュ) 1食,300,266,17.4,16.6,14.1,nosh menu id=916
たんぱく質チャージ！朝の麹チキン(ナッシュ) 1食,300,381,24.2,23.2,21.0,nosh menu id=941
たっぷり挽肉の麻婆茄子(ナッシュ) 1食,300,363,13.5,24.1,24.6,nosh menu id=964
CoCo壱番屋ハンバーグチーズのビーフカレー(ナッシュ) 1食,300,269,13.1,12.7,27.0,nosh menu id=971
銀鮭のマッシュポテトアヒージョ(ナッシュ) 1食,300,485,17.2,38.0,20.9,nosh menu id=974
よだれ鶏(ナッシュ) 1食,300,458,23.4,31.9,22.0,nosh menu id=977
油淋鶏(ナッシュ) 1食,300,384,23.4,22.0,26.0,nosh menu id=980
スタミナ焼肉・増量(ナッシュ) 1食,300,669,27.0,53.9,26.8,nosh menu id=981
たっぷり挽肉の麻婆茄子・増量(ナッシュ) 1食,300,445,19.1,31.4,23.5,nosh menu id=982
旨だれペッパーチキン(ナッシュ) 1食,300,405,25.8,20.8,30.8,nosh menu id=986
お豆腐仕立ての和風ハンバーグ(ナッシュ) 1食,300,292,14.8,16.1,25.4,nosh menu id=990
チリハンバーグステーキ・増量(ナッシュ) 1食,300,542,25.3,36.1,29.7,nosh menu id=993
オニオングリルハンバーグ・増量(ナッシュ) 1食,300,549,27.5,36.7,28.5,nosh menu id=994
海老クリームハンバーグ(ナッシュ) 1食,300,525,21.2,38.1,25.6,nosh menu id=995
回鍋肉(ナッシュ) 1食,300,397,14.2,29.3,22.4,nosh menu id=996
水餃子のチーズコチュジャン(ナッシュ) 1食,300,334,12.4,17.8,32.6,nosh menu id=1000
鶏もも肉の炭火焼き・増量(ナッシュ) 1食,300,354,21.4,23.1,17.1,nosh menu id=1001
海老満喫！チリディッシュ(ナッシュ) 1食,300,379,24.2,18.6,30.9,nosh menu id=1006
クリームコロッケグラタン(ナッシュ) 1食,300,350,12.0,22.4,27.1,nosh menu id=1008
チキンのトマトチーズがけ(ナッシュ) 1食,300,395,40.5,16.6,24.7,nosh menu id=1009
特製みそカツ(ナッシュ) 1食,300,288,13.9,11.7,34.5,nosh menu id=1016
うなぎの京風柳川仕立て(ナッシュ) 1食,300,300,18.1,17.0,20.0,nosh menu id=1020
あんかけカツとじ(ナッシュ) 1食,300,283,13.5,13.7,28.0,nosh menu id=1026
やさしいクリーミーソースオムレツ(ナッシュ) 1食,300,236,10.4,13.8,20.3,nosh menu id=1031
チャーシュー炒飯(ナッシュ) 1食,300,323,11.6,15.8,34.5,nosh menu id=1032
豪快チキンのビリヤニライス(ナッシュ) 1食,300,459,24.2,25.3,35.6,nosh menu id=1033
ザ・プレミアムハンバーグステーキ(ナッシュ) 1食,300,489,21.9,33.4,25.9,nosh menu id=1037
ぷりっと海老の特製マヨソース(ナッシュ) 1食,300,414,19.1,25.1,28.5,nosh menu id=1042
