品名,1単位g,kcal,P,F,C,根拠(市販品イメージ)
グラノーラ 1食,50,220,4.0,8.0,33.0,フルグラ系50g
カップラーメン 1個,78,351,10.5,14.6,45.7,カップヌードル標準
カップ焼きそば 1個,130,556,9.0,27.0,74.0,大手カップ焼きそば平均
コンビニおにぎり 1個,110,180,4.0,1.5,38.0,具入り平均(鮭・昆布等)
サラダチキンバー 1本,60,60,13.0,0.7,0.3,大手コンビニ平均
スモークチキン 1袋,80,95,17.0,2.5,1.0,大手コンビニ平均
焼き鳥缶 1缶,75,130,12.0,7.0,5.0,たれ味缶詰平均
コンビニ幕の内弁当 1個,450,650,25.0,18.0,95.0,大手コンビニ平均
コンビニのり弁当 1個,400,700,18.0,22.0,105.0,大手コンビニ平均
コンビニ唐揚げ弁当 1個,450,800,28.0,28.0,110.0,大手コンビニ平均
コンビニパスタ(ミート) 1個,300,480,18.0,14.0,70.0,大手コンビニ平均
コンビニサンドイッチ(ミックス) 1包装,140,330,12.0,17.0,33.0,ミックスサンド平均
コンビニ冷やし中華 1個,400,450,17.0,12.0,68.0,大手コンビニ平均
コンビニおでんセット 1人前,350,180,12.0,6.0,18.0,定番5-6品平均
ピザまん 1個,100,240,8.0,8.0,34.0,大手コンビニ平均
コンビニホットスナック(からあげ) 5個,125,330,19.0,19.0,19.0,レジ横からあげ平均
カットサラダ+蒸し鶏 1袋,150,90,12.0,2.0,6.0,コンビニサラダ平均
冷凍餃子(調理後) 5個,125,250,10.0,13.0,25.0,大手冷凍餃子平均
冷凍チャーハン 1人前,250,460,11.0,17.0,66.0,大手冷凍炒飯250g
カップ味噌汁 1個,160,35,2.5,1.0,4.5,インスタント味噌汁平均
カップ春雨スープ 1個,160,80,1.5,1.5,15.0,春雨スープ平均
ゼリー飲料(エネルギー系) 1個,180,180,0.0,0.0,45.0,エネルギー系ゼリー標準
プロテインドリンク(紙パック) 1本,200,102,15.0,0.0,10.0,ミルクプロテイン標準
プロテインバー 1本,40,180,15.0,8.5,12.0,大手プロテインバー平均
ゆで卵(味付き・市販) 1個,50,65,6.0,4.4,0.6,味付ゆで卵
小魚アーモンド 1袋,25,120,7.0,7.0,6.0,小袋25g
ミックスナッツ(小袋) 1袋,25,160,4.5,14.0,4.5,素焼きミックス25g
茎わかめ 1袋,60,15,0.5,0.1,3.0,おつまみ茎わかめ
柿の種(小袋) 1袋,30,140,3.5,4.0,21.0,6袋詰1袋
グミ 1袋,50,170,3.5,0.0,39.0,果汁グミ系
ラムネ菓子 1本,29,108,0.0,0.0,27.0,大粒ラムネ標準
カロリーメイト 1本,20,100,2.0,5.5,10.5,公称値
ミックスフルーツ(カップ) 1個,130,80,0.5,0.2,20.0,カットフルーツカップ
カフェラテ(無糖・コンビニ) 1杯,240,90,4.5,5.0,6.0,コンビニカフェM
野菜ジュース 1本,200,70,1.5,0.0,16.0,200ml紙パック平均
スポーツドリンク 1本(500ml),500,125,0.0,0.0,31.0,ポカリ系標準
コーラ(ゼロ) 1本,500,0,0.0,0.0,0.0,ゼロ系
エナジードリンク 1本,250,113,0.0,0.0,28.0,250ml缶標準
ノンアルコールビール 1本,350,25,0.1,0.0,5.6,ノンアル平均(0kcal品も多い)
ストロング系チューハイ 缶(350ml),350,220,0.0,0.0,0.7,9%糖類0系・アルコール由来
ノンオイルドレッシング 大さじ1,15,12,0.5,0.0,2.5,青じそ系
ベースブレッド 1袋,70,205,13.5,5.4,23.9,プレーン公称
タピオカミルクティー 1杯,350,350,4.0,6.0,70.0,専門店M標準
グリーンスムージー 1杯,250,100,1.0,0.0,24.0,市販カップ平均
青汁 1杯,150,12,0.5,0.0,2.5,粉末1包
糖質0麺 1袋,180,15,1.0,0.2,6.0,糖質0麺(繊維主体)
こんにゃく麺 1袋,150,10,0.1,0.0,4.0,こんにゃく麺
豆腐そうめん 1パック,150,94,4.9,2.5,14.0,とうふ麺標準
カリフラワーライス 1食,150,40,2.4,0.2,7.5,冷凍カリフラライス
ブランパン 1個,45,65,6.3,2.7,8.6,ふすまパン標準
低糖質パン 1個,50,110,8.0,4.5,13.0,低糖質ロール平均
サラダフィッシュ 1袋,70,90,14.0,3.5,0.3,サバ・サーモン系平均
寒天ゼリー(0kcal系) 1個,200,0,0.0,0.0,0.0,0kcal系
ハイカカオチョコ(72%) 1かけ,5,28,0.5,2.0,1.6,72%1枚5g
ソイジョイ 1本,30,135,5.0,7.5,13.0,公称平均
プロテイン(ソイ) 1杯,30,110,16.0,1.0,9.0,ソイ標準30g
アーモンドミルク(無糖) コップ1杯,200,40,2.0,3.0,1.8,無糖200ml
オーツミルク コップ1杯,200,80,0.6,3.0,13.0,200ml
EAA/BCAAドリンク 1杯,500,50,12.0,0.0,1.0,EAA12g溶かし
ウェイトゲイナーシェイク 1杯,400,400,30.0,5.0,60.0,ゲイナー標準1食
カーボドリンク 1杯,500,180,0.0,0.0,45.0,マルトデキストリン45g
魚肉ソーセージ 1本,70,110,8.1,5.0,8.8,成分表10388準拠70g
粉飴(マルトデキストリン) 大さじ1,9,35,0.0,0.0,8.7,粉飴9g
高たんぱくヨーグルト(パルテノ型) 1個,100,100,10.0,4.3,4.5,ギリシャヨーグルト標準
グリルチキン(コンビニ) 1個,80,130,14.0,7.0,2.0,炭火焼チキン平均
砂肝スモーク 1袋,60,60,11.0,1.5,1.0,おつまみ砂肝
プロテインin ゼリー飲料 1個,180,90,10.0,0.0,12.0,プロテイン系ゼリー
高たんぱく豆乳 1本,200,100,10.0,5.0,3.5,高たんぱく調製豆乳200ml
もち麦おにぎり 1個,110,170,3.5,1.5,36.0,コンビニもち麦系
玄米おにぎり 1個,110,170,3.5,1.5,36.0,コンビニ玄米系
サラダチキンの全粒粉サンド 1包装,150,260,22.0,7.0,28.0,高たんぱくサンド平均
サラダチキン(ハーブ) 1袋,110,115,24.0,1.5,1.5,味付きサラダチキン平均
サラダチキン(スモーク) 1袋,110,115,24.0,1.5,1.5,味付きサラダチキン平均
サラダチキン(タンドリー・スパイシー) 1袋,110,115,24.0,1.5,1.5,味付きサラダチキン平均
サラダチキン(レモン) 1袋,110,115,24.0,1.5,1.5,味付きサラダチキン平均
ほぐしサラダチキン 1袋,80,90,18.0,1.0,1.0,ほぐしタイプ80g
ささみソーセージ 1本,65,80,10.0,3.0,3.5,ささみソーセージ標準
こんにゃくゼリー 1個,25,25,0.0,0.0,6.0,一口タイプ1個
プロテイン(WPI) 1杯,30,110,25.0,0.5,1.5,WPI標準30g
プロテイン(カゼイン) 1杯,30,110,23.0,1.0,2.5,カゼイン標準30g
豆腐干 1人前,100,150,16.0,8.0,4.0,豆腐干100g
さけるチーズ 1本,25,80,6.8,5.7,0.2,さけるチーズ公称
