品名,材料名,食品番号,g,kcal,P,F,C
雑穀米 茶碗1杯,ごはん(精白米),01088,130,203,3.2,0.4,48.2
雑穀米 茶碗1杯,玄米ごはん,01085,20,30,0.6,0.2,7.1
雑炊 1杯,ごはん(精白米),01088,120,187,3.0,0.4,44.5
雑炊 1杯,卵,12004,25,36,3.0,2.6,0.1
雑炊 1杯,長ねぎ,06226,10,4,0.1,0.0,0.8
雑炊 1杯,かつお昆布だし,17021,150,3,0.4,0.0,0.4
雑炊 1杯,しょうゆ(こいくち),17007,5,4,0.4,0.0,0.4
おにぎり(鮭) 1個,おにぎり(具なし),01111,100,170,2.7,0.3,39.4
おにぎり(鮭) 1個,鮭(生),10134,12,15,2.7,0.5,0.0
おにぎり(ツナマヨ) 1個,おにぎり(具なし),01111,100,170,2.7,0.3,39.4
おにぎり(ツナマヨ) 1個,ツナ缶(油漬),10263,10,26,1.8,2.2,0.0
おにぎり(ツナマヨ) 1個,マヨネーズ,17042,4,27,0.1,3.0,0.1
おにぎり(梅) 1個,おにぎり(具なし),01111,105,178,2.8,0.3,41.4
おにぎり(梅) 1個,梅干し(塩漬),07022,8,2,0.1,0.1,0.7
おにぎり(昆布) 1個,おにぎり(具なし),01111,100,170,2.7,0.3,39.4
おにぎり(昆布) 1個,昆布つくだ煮,09023,8,12,0.5,0.1,2.7
おにぎり(明太子) 1個,おにぎり(具なし),01111,100,170,2.7,0.3,39.4
おにぎり(明太子) 1個,明太子,10204,10,12,2.1,0.3,0.3
おにぎり(おかか) 1個,おにぎり(具なし),01111,100,170,2.7,0.3,39.4
おにぎり(おかか) 1個,かつお節,10091,2,7,1.5,0.1,0.0
おにぎり(おかか) 1個,しょうゆ(こいくち),17007,2,2,0.2,0.0,0.2
総菜パン(焼きそばパン) 1個,ロールパン,01034,60,185,6.1,5.4,29.2
総菜パン(焼きそばパン) 1個,蒸し中華めん,01049,55,89,2.7,0.9,19.6
総菜パン(焼きそばパン) 1個,焼きそば粉末ソース,17144,4,10,0.2,0.0,2.5
総菜パン(焼きそばパン) 1個,サラダ油(調合油),14006,3,27,0.0,3.0,0.0
総菜パン(焼きそばパン) 1個,紅しょうが(酢漬),06104,3,0,0.0,0.0,0.1
サンドイッチ(ハムレタス) 1人前,食パン(8枚切),01026,90,223,8.0,3.7,41.8
サンドイッチ(ハムレタス) 1人前,ロースハム,11176,20,42,3.7,2.9,0.4
サンドイッチ(ハムレタス) 1人前,レタス,06312,15,2,0.1,0.0,0.4
サンドイッチ(ハムレタス) 1人前,マヨネーズ,17042,8,53,0.1,6.1,0.3
サンドイッチ(ハムレタス) 1人前,バター(有塩),14017,4,28,0.0,3.2,0.0
サンドイッチ(たまご) 1人前,食パン(8枚切),01026,90,223,8.0,3.7,41.8
サンドイッチ(たまご) 1人前,ゆで卵,12005,40,54,5.0,4.2,0.1
サンドイッチ(たまご) 1人前,マヨネーズ,17042,10,67,0.1,7.6,0.4
サンドイッチ(たまご) 1人前,砂糖(上白糖),03003,1,4,0.0,0.0,1.0
ホットドッグ 1個,ロールパン,01034,50,154,5.0,4.5,24.3
ホットドッグ 1個,ウインナー,11186,45,144,5.2,13.8,1.5
ホットドッグ 1個,ケチャップ,17036,8,9,0.1,0.0,2.2
ホットドッグ 1個,からし(練り),17058,2,6,0.1,0.3,0.8
ホットドッグ 1個,キャベツ(生),06061,15,3,0.2,0.0,0.8
フレンチトースト 1枚,食パン(8枚切),01026,45,112,4.0,1.8,20.9
フレンチトースト 1枚,卵,12004,25,36,3.0,2.6,0.1
フレンチトースト 1枚,牛乳,13003,40,24,1.3,1.5,1.9
フレンチトースト 1枚,砂糖(上白糖),03003,8,31,0.0,0.0,7.9
フレンチトースト 1枚,バター(有塩),14017,5,35,0.0,4.0,0.0
たこ焼き 6個,薄力粉,01015,30,105,2.5,0.4,22.7
たこ焼き 6個,卵,12004,15,21,1.8,1.5,0.1
たこ焼き 6個,ゆでだこ,10362,25,23,5.4,0.2,0.0
たこ焼き 6個,かつお昆布だし,17021,40,1,0.1,0.0,0.1
たこ焼き 6個,サラダ油(調合油),14006,3,27,0.0,3.0,0.0
たこ焼き 6個,お好み焼きソース,17085,10,14,0.2,0.0,3.4
たこ焼き 6個,青のり,09002,0.3,1,0.1,0.0,0.1
たこ焼き 6個,かつお節,10091,1,3,0.8,0.0,0.0
たこ焼き 6個,紅しょうが(酢漬),06104,3,0,0.0,0.0,0.1
ピザ(マルゲリータ) 1切れ,強力粉,01020,35,118,4.1,0.5,25.1
ピザ(マルゲリータ) 1切れ,モッツァレラ,13056,20,54,3.7,4.0,0.8
ピザ(マルゲリータ) 1切れ,トマト缶(ホール),06184,25,5,0.2,0.0,1.1
ピザ(マルゲリータ) 1切れ,オリーブ油,14001,4,36,0.0,4.0,0.0
ピザ(マルゲリータ) 1切れ,バジル(生),06238,1,0,0.0,0.0,0.0
ピザ(マルゲリータ) 1切れ,砂糖(上白糖),03003,1,4,0.0,0.0,1.0
ピザトースト 1枚,食パン(8枚切),01026,60,149,5.3,2.5,27.8
ピザトースト 1枚,ケチャップ,17036,12,14,0.2,0.0,3.3
ピザトースト 1枚,モッツァレラ,13056,25,67,4.6,5.0,1.0
ピザトースト 1枚,青ピーマン,06245,10,2,0.1,0.0,0.5
ピザトースト 1枚,たまねぎ,06153,10,3,0.1,0.0,0.8
ピザトースト 1枚,ベーコン,11184,10,20,1.7,1.5,0.3
ピザトースト 1枚,オリーブ油,14001,2,18,0.0,2.0,0.0
卵かけごはん 1杯,ごはん(精白米),01088,150,234,3.8,0.4,55.6
卵かけごはん 1杯,卵,12004,55,78,6.7,5.6,0.2
卵かけごはん 1杯,しょうゆ(こいくち),17007,5,4,0.4,0.0,0.4
お茶漬け 1杯,ごはん(精白米),01088,150,234,3.8,0.4,55.6
お茶漬け 1杯,お茶漬けの素,17125,6,15,1.2,0.2,2.2
お茶漬け 1杯,せん茶(浸出液),16037,80,2,0.2,0.0,0.2
カレーライス 1人前,ごはん(精白米),01088,200,312,5.0,0.6,74.2
カレーライス 1人前,カレールウ,17051,25,118,1.6,8.5,11.2
カレーライス 1人前,豚もも(生),11130,40,68,8.2,4.1,0.1
カレーライス 1人前,じゃがいも(生),02017,50,30,0.9,0.0,8.6
カレーライス 1人前,たまねぎ,06153,60,20,0.6,0.1,5.0
カレーライス 1人前,にんじん,06214,25,8,0.2,0.0,2.2
カレーライス 1人前,サラダ油(調合油),14006,4,35,0.0,4.0,0.0
カレー(ルーのみ) 1人前,カレールウ,17051,25,118,1.6,8.5,11.2
カレー(ルーのみ) 1人前,豚もも(生),11130,50,86,10.2,5.1,0.1
カレー(ルーのみ) 1人前,じゃがいも(生),02017,60,35,1.1,0.1,10.4
カレー(ルーのみ) 1人前,たまねぎ,06153,70,23,0.7,0.1,5.9
カレー(ルーのみ) 1人前,にんじん,06214,30,10,0.2,0.1,2.6
カレー(ルーのみ) 1人前,サラダ油(調合油),14006,5,44,0.0,5.0,0.0
キーマカレー 1人前,ごはん(精白米),01088,200,312,5.0,0.6,74.2
キーマカレー 1人前,豚ひき肉,11163,50,104,8.8,8.6,0.0
キーマカレー 1人前,牛ひき肉,11089,30,75,5.1,6.3,0.1
キーマカレー 1人前,たまねぎ,06153,60,20,0.6,0.1,5.0
キーマカレー 1人前,トマト缶(ホール),06184,30,6,0.3,0.1,1.3
キーマカレー 1人前,カレールウ,17051,20,95,1.3,6.8,8.9
キーマカレー 1人前,サラダ油(調合油),14006,5,44,0.0,5.0,0.0
バターチキンカレー 1人前,ごはん(精白米),01088,200,312,5.0,0.6,74.2
バターチキンカレー 1人前,鶏もも(皮なし),11224,70,79,13.3,3.5,0.0
バターチキンカレー 1人前,トマト缶(ホール),06184,60,13,0.5,0.1,2.6
バターチキンカレー 1人前,生クリーム(乳脂肪),13014,25,101,0.5,10.8,1.6
バターチキンカレー 1人前,バター(有塩),14017,12,84,0.1,9.7,0.0
バターチキンカレー 1人前,カレー粉,17061,4,14,0.5,0.5,2.5
バターチキンカレー 1人前,砂糖(上白糖),03003,3,12,0.0,0.0,3.0
バターチキンカレー 1人前,にんにく,06223,2,3,0.1,0.0,0.6
バターチキンカレー 1人前,しょうが,06103,2,1,0.0,0.0,0.1
スープカレー 1人前,ごはん(精白米),01088,150,234,3.8,0.4,55.6
スープカレー 1人前,手羽元,11286,60,105,10.9,7.7,0.0
スープカレー 1人前,じゃがいも(生),02017,60,35,1.1,0.1,10.4
スープカレー 1人前,にんじん,06214,30,10,0.2,0.1,2.6
スープカレー 1人前,なす,06191,30,5,0.3,0.0,1.5
スープカレー 1人前,青ピーマン,06245,15,3,0.1,0.0,0.8
スープカレー 1人前,ゆで卵,12005,25,34,3.1,2.6,0.1
スープカレー 1人前,カレー粉,17061,5,17,0.6,0.6,3.2
スープカレー 1人前,固形ブイヨン,17027,4,9,0.3,0.2,1.7
スープカレー 1人前,サラダ油(調合油),14006,6,53,0.0,6.0,0.0
スープカレー 1人前,ケチャップ,17036,10,12,0.2,0.0,2.8
ハヤシライス 1人前,ごはん(精白米),01088,200,312,5.0,0.6,74.2
ハヤシライス 1人前,牛切り落とし,11030,60,139,10.3,11.9,0.2
ハヤシライス 1人前,たまねぎ,06153,70,23,0.7,0.1,5.9
ハヤシライス 1人前,ハヤシルウ,17052,25,125,1.4,8.3,11.9
ハヤシライス 1人前,サラダ油(調合油),14006,4,35,0.0,4.0,0.0
牛丼 並盛1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
牛丼 並盛1杯,牛切り落とし,11030,70,162,12.0,13.9,0.2
牛丼 並盛1杯,たまねぎ,06153,40,13,0.4,0.0,3.4
牛丼 並盛1杯,しょうゆ(こいくち),17007,7,5,0.5,0.0,0.6
牛丼 並盛1杯,砂糖(上白糖),03003,5,20,0.0,0.0,5.0
牛丼 並盛1杯,本みりん,16025,5,12,0.0,0.0,2.2
牛丼 並盛1杯,料理酒(清酒),16001,3,3,0.0,0.0,0.1
牛丼(具のみ) 1人前,牛切り落とし,11030,70,162,12.0,13.9,0.2
牛丼(具のみ) 1人前,たまねぎ,06153,40,13,0.4,0.0,3.4
牛丼(具のみ) 1人前,しょうゆ(こいくち),17007,8,6,0.6,0.0,0.6
牛丼(具のみ) 1人前,砂糖(上白糖),03003,5,20,0.0,0.0,5.0
牛丼(具のみ) 1人前,本みりん,16025,6,14,0.0,0.0,2.6
牛丼(具のみ) 1人前,料理酒(清酒),16001,4,4,0.0,0.0,0.2
親子丼 1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
親子丼 1杯,親子丼の具,18030,160,162,13.4,8.3,9.0
カツ丼 1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
カツ丼 1杯,とんかつ(ロース),11276,90,386,19.8,32.3,8.8
カツ丼 1杯,卵,12004,40,57,4.9,4.1,0.2
カツ丼 1杯,たまねぎ,06153,30,10,0.3,0.0,2.5
カツ丼 1杯,めんつゆ(3倍濃縮),17030,15,15,0.7,0.0,3.0
豚丼 1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
豚丼 1杯,豚バラ,11129,70,256,10.1,24.8,0.1
豚丼 1杯,たまねぎ,06153,30,10,0.3,0.0,2.5
豚丼 1杯,焼き肉のたれ,17113,18,30,0.8,0.4,5.8
天丼 1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
天丼 1杯,エビの天ぷら,10416,80,155,16.0,8.2,5.2
天丼 1杯,かぼちゃ,06048,30,23,0.6,0.1,6.2
天丼 1杯,天ぷら粉,01025,10,34,0.9,0.1,7.6
天丼 1杯,サラダ油(調合油),14006,8,71,0.0,8.0,0.0
天丼 1杯,めんつゆ(3倍濃縮),17030,15,15,0.7,0.0,3.0
海鮮丼 1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
海鮮丼 1杯,サーモン刺身,10438,40,89,7.8,6.8,0.0
海鮮丼 1杯,マグロ刺身(赤身),10253,40,46,10.6,0.6,0.0
海鮮丼 1杯,するめいか,10345,20,15,3.6,0.2,0.0
海鮮丼 1杯,しょうゆ(こいくち),17007,6,5,0.5,0.0,0.5
海鮮丼 1杯,わさび(練り),17081,2,5,0.1,0.2,0.8
鉄火丼 1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
鉄火丼 1杯,マグロ刺身(赤身),10253,80,92,21.1,1.1,0.1
鉄火丼 1杯,しょうゆ(こいくち),17007,7,5,0.5,0.0,0.6
鉄火丼 1杯,わさび(練り),17081,2,5,0.1,0.2,0.8
鉄火丼 1杯,焼きのり,09004,1,3,0.4,0.0,0.4
ねぎとろ丼 1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
ねぎとろ丼 1杯,マグロ刺身(赤身),10253,70,80,18.5,1.0,0.1
ねぎとろ丼 1杯,サラダ油(調合油),14006,6,53,0.0,6.0,0.0
ねぎとろ丼 1杯,長ねぎ,06226,10,4,0.1,0.0,0.8
ねぎとろ丼 1杯,しょうゆ(こいくち),17007,6,5,0.5,0.0,0.5
ねぎとろ丼 1杯,焼きのり,09004,1,3,0.4,0.0,0.4
うな丼 1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
うな丼 1杯,うなぎの蒲焼,10070,100,285,23.0,21.0,3.1
うな丼 1杯,焼き鳥のたれ,17112,12,16,0.4,0.0,3.4
中華丼 1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
中華丼 1杯,八宝菜,18048,180,115,10.4,5.8,6.8
麻婆丼 1杯,ごはん(精白米),01088,240,374,6.0,0.7,89.0
麻婆丼 1杯,麻婆豆腐,18049,180,187,14.0,12.2,6.8
ロコモコ丼 1人前,ごはん(精白米),01088,240,374,6.0,0.7,89.0
ロコモコ丼 1人前,ハンバーグ,18050,100,197,13.4,12.2,10.0
ロコモコ丼 1人前,目玉焼き,12021,50,102,7.4,8.8,0.2
