品名,食品番号,成分表名,1単位g,kcal,P,F,C,100gあたりkcal,備考
ごはん 茶碗1杯,01088,こめ　［水稲めし］　精白米　うるち米,150.0,234,3.8,0.5,55.6,156.0,
ごはん 大盛り1杯,01088,こめ　［水稲めし］　精白米　うるち米,240.0,374,6.0,0.7,89.0,156.0,
ごはん 子ども茶碗1杯,01088,こめ　［水稲めし］　精白米　うるち米,100.0,156,2.5,0.3,37.1,156.0,
玄米ごはん 茶碗1杯,01085,こめ　［水稲めし］　玄米,150.0,228,4.2,1.5,53.4,152.0,
もち麦ごはん 茶碗1杯,01170,おおむぎ　押麦　めし,150.0,177,3.3,0.8,42.8,118.0,
おかゆ 1杯,01093,こめ　［水稲全かゆ］　精白米,250.0,162,2.8,0.2,39.2,65.0,
焼きおにぎり 1個,01112,こめ　［うるち米製品］　焼きおにぎり,90.0,149,2.8,0.3,35.5,166.0,
赤飯 茶碗1杯,01118,こめ　［もち米製品］　赤飯,150.0,279,6.5,0.9,62.9,186.0,
もち 1個,01117,こめ　［もち米製品］　もち,50.0,112,2.0,0.3,25.4,223.0,
食パン(8枚切) 1枚,01026,こむぎ　［パン類］　角形食パン　食パン,45.0,112,4.0,1.8,20.9,248.0,
ロールパン 1個,01034,こむぎ　［パン類］　ロールパン,30.0,93,3.0,2.7,14.6,309.0,
クロワッサン 1個,01035,こむぎ　［パン類］　クロワッサン　リッチタイプ,45.0,197,3.6,12.1,19.8,438.0,
フランスパン 2切れ,01031,こむぎ　［パン類］　フランスパン,50.0,144,4.7,0.7,28.8,289.0,
ベーグル 1個,01148,こむぎ　［パン類］　ベーグル,90.0,243,8.6,1.8,49.1,270.0,
全粒粉パン 1枚,01208,こむぎ　［パン類］　全粒粉パン,60.0,151,4.7,3.4,27.3,251.0,
菓子パン(あんぱん) 1個,15069,＜菓子パン類＞　あんパン　こしあん入り,100.0,267,6.8,3.6,53.5,267.0,
菓子パン(クリームパン) 1個,15070,＜菓子パン類＞　クリームパン,100.0,286,7.9,7.4,48.3,286.0,
菓子パン(メロンパン) 1個,15132,＜菓子パン類＞　メロンパン,100.0,349,8.0,10.5,59.9,349.0,
カレーパン 1個,15127,＜菓子パン類＞　カレーパン　皮及び具,120.0,362,7.9,22.0,38.8,302.0,
シリアル(コーンフレーク) 1食,01137,とうもろこし　コーンフレーク,40.0,152,3.1,0.7,33.4,380.0,
ホットケーキ 2枚,15083,＜ケーキ・ペストリー類＞　ホットケーキ,160.0,405,12.3,8.6,72.5,253.0,
お好み焼き(豚) 1枚,18053,和風料理　その他　お好み焼き,350.0,476,18.2,22.8,53.2,136.0,
チャーハン 1人前,18057,中国料理　菜類　チャーハン,300.0,618,15.0,15.6,99.9,206.0,
エビピラフ 1人前,18014,洋風料理　その他　えびピラフ,300.0,438,9.9,6.9,89.4,146.0,
とんかつ(ロース) 1枚,11276,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　とんかつ,150.0,644,33.0,53.9,14.7,429.0,
とんかつ(ヒレ) 1人前,11279,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　とんかつ,120.0,455,30.1,30.4,17.9,379.0,
ハンバーグ 1個,18050,洋風料理　ハンバーグステーキ類　合いびきハンバーグ,150.0,296,20.1,18.3,15.0,197.0,
豆腐ハンバーグ 1個,18052,洋風料理　ハンバーグステーキ類　豆腐ハンバーグ,150.0,213,14.8,13.8,12.6,142.0,
ローストビーフ 1人前,11104,＜畜肉類＞　うし　［加工品］　ローストビーフ,80.0,152,17.4,9.4,0.7,190.0,
肉じゃが 1人前,18036,和風料理　煮物類　肉じゃが,200.0,156,8.6,2.6,26.0,78.0,
ミートボール 3個,18015,洋風料理　素揚げ類　ミートボール,90.0,179,9.2,11.2,12.1,199.0,
メンチカツ 1個,18022,洋風料理　フライ類　メンチカツ,90.0,246,9.6,16.8,16.8,273.0,
コロッケ(ポテト) 1個,18018,洋風料理　コロッケ類　ポテトコロッケ,80.0,181,4.2,10.1,20.2,226.0,
餃子 1個,18002,中国料理　点心類　ぎょうざ,25.0,52,1.7,2.8,5.6,209.0,
シュウマイ 1個,18012,中国料理　点心類　しゅうまい,25.0,48,2.3,2.3,4.9,191.0,
春巻き 1本,18056,中国料理　点心類　春巻き,60.0,133,3.6,5.1,18.1,221.0,脂質は原表不整合のためエネルギー整合値に補正(8.5/100g)
酢豚 1人前,18047,中国料理　菜類　酢豚,200.0,154,9.2,6.6,15.2,77.0,
麻婆豆腐 1人前,18049,中国料理　菜類　麻婆豆腐,220.0,229,17.2,15.0,8.4,104.0,
ソーセージ 1本,11186,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　ウインナーソーセージ,20.0,64,2.3,6.1,0.7,319.0,
ベーコン 1枚,11184,＜畜肉類＞　ぶた　［ベーコン類］　ロースベーコン,17.0,34,2.9,2.5,0.5,202.0,
ハム(ロース) 1枚,11176,＜畜肉類＞　ぶた　［ハム類］　ロースハム　ロースハム,15.0,32,2.8,2.2,0.3,211.0,
生ハム 3枚,11181,＜畜肉類＞　ぶた　［ハム類］　生ハム　促成,30.0,73,7.2,5.0,0.1,243.0,
サバの味噌煮 1切れ,10165,＜魚類＞　（さば類）　缶詰　みそ煮,120.0,252,19.6,16.7,7.9,210.0,
ブリの照り焼き 1切れ,10242,＜魚類＞　ぶり　成魚　焼き,90.0,234,23.6,18.4,0.3,260.0,
アジフライ 1枚,10390,＜魚類＞　（あじ類）　まあじ　皮つき　フライ,80.0,216,16.1,14.6,6.3,270.0,
