カテゴリ,品名,単位,1単位の目安g,数え方,別名(検索用),数値の作り方,優先,kcal,P,F,C,数値ソース,備考
基本食材(のり監修),鶏むね(皮なし) 120g,g,120,g(10刻み),とりむね/鶏胸肉/むね肉,確定済(のり監修),✓,126,28.0,2.3,0.1,のり監修(food_table),
基本食材(のり監修),鶏ささみ 150g,g,150,g(10刻み),ささみ/とりささみ,確定済(のり監修),✓,147,35.8,1.2,0.2,のり監修(food_table),
基本食材(のり監修),豚ヒレ 120g,g,120,g(10刻み),ぶたひれ/ヒレ肉,確定済(のり監修),✓,142,26.6,4.4,0.4,のり監修(food_table),
基本食材(のり監修),全卵 1個,個,50,個,卵/たまご,確定済(のり監修),✓,71,6.1,5.1,0.2,のり監修(food_table),1個=50g換算
基本食材(のり監修),サバ水煮缶 1缶,缶,100,缶,さば缶/鯖缶/さばみずに,確定済(のり監修),✓,174,20.9,10.7,0.2,のり監修(food_table),※1缶=100g換算になっています。実際の缶(内容量150〜190g)に合わせるか要確認
基本食材(のり監修),鮭 100g,g,100,g(10刻み),さけ/しゃけ/サーモン,確定済(のり監修),✓,124,22.3,4.1,0.1,のり監修(food_table),
基本食材(のり監修),木綿豆腐 150g,g,150,g(10刻み),とうふ/もめんどうふ,確定済(のり監修),✓,110,10.5,7.4,2.2,のり監修(food_table),
基本食材(のり監修),納豆 1パック,パック,45,パック,なっとう,確定済(のり監修),✓,86,7.4,4.5,5.4,のり監修(food_table),1パック=45g換算
基本食材(のり監修),無脂肪ギリシャヨーグルト 100g,g,100,g(10刻み),ヨーグルト/ぎりしゃ/オイコス,確定済(のり監修),✓,59,10.2,0.2,4.0,のり監修(food_table),
基本食材(のり監修),プロテイン(WPC) 1杯,杯,30,杯,ぷろていん/ホエイ,確定済(のり監修),✓,117,21.9,1.5,3.0,のり監修(food_table),1杯=30g換算・使用製品の表示に合わせて要確認
基本食材(のり監修),白米(飯) 180g,g,180,g(10刻み),ごはん/白ごはん/はくまい,確定済(のり監修),✓,281,4.5,0.5,66.8,のり監修(food_table),
基本食材(のり監修),玄米(飯) 180g,g,180,g(10刻み),げんまい,確定済(のり監修),✓,274,5.0,1.8,64.1,のり監修(food_table),
基本食材(のり監修),もち麦飯 150g,g,150,g(10刻み),もちむぎ/もち麦ごはん,確定済(のり監修),✓,218,4.1,0.9,46.5,のり監修(food_table),
基本食材(のり監修),オートミール(乾) 40g,g,40,g(10刻み),おーとみーる,確定済(のり監修),✓,140,5.5,2.3,27.6,のり監修(food_table),
基本食材(のり監修),バナナ 1本,本,100,本,ばなな,確定済(のり監修),✓,93,1.1,0.2,22.5,のり監修(food_table),1本=可食部100g換算
基本食材(のり監修),さつまいも 120g,g,120,g(10刻み),さつま芋/やきいも,確定済(のり監修),✓,151,1.4,0.2,38.3,のり監修(food_table),
基本食材(のり監修),そば(ゆで) 180g,g,180,g(10刻み),蕎麦,確定済(のり監修),✓,234,8.6,1.8,46.8,のり監修(food_table),
基本食材(のり監修),ブロッコリー 80g,g,80,g(10刻み),ぶろっこりー,確定済(のり監修),✓,24,2.1,0.3,3.4,のり監修(food_table),
基本食材(のり監修),ほうれん草 80g,g,80,g(10刻み),ほうれんそう,確定済(のり監修),✓,18,2.1,0.4,3.2,のり監修(food_table),
基本食材(のり監修),キャベツ 80g,g,80,g(10刻み),きゃべつ,確定済(のり監修),✓,17,1.0,0.1,4.2,のり監修(food_table),
基本食材(のり監修),玉ねぎ 50g,g,50,g(10刻み),たまねぎ,確定済(のり監修),✓,16,0.5,0.1,4.2,のり監修(food_table),
基本食材(のり監修),なす 60g,g,60,g(10刻み),茄子/ナス,確定済(のり監修),✓,11,0.7,0.1,3.1,のり監修(food_table),
