材料名,食品番号,成分表名,100gあたりkcal,P,F,C,出自
しょうゆ(こいくち),17007,＜調味料類＞ （しょうゆ類） こいくちしょうゆ,76.0,7.7,0.0,7.9,層2裏方
しょうゆ(うすくち),17008,＜調味料類＞ （しょうゆ類） うすくちしょうゆ,60.0,5.7,0.0,5.8,層2裏方
みそ(淡色辛),17045,＜調味料類＞ （みそ類） 米みそ 淡色辛みそ,182.0,12.5,6.0,21.9,層2裏方
みそ(赤),17046,＜調味料類＞ （みそ類） 米みそ 赤色辛みそ,178.0,13.1,5.5,21.1,層2裏方
みそ(甘・白),17044,＜調味料類＞ （みそ類） 米みそ 甘みそ,206.0,9.7,3.0,37.9,層2裏方
即席みそ(ペースト),17050,＜調味料類＞ （みそ類） 即席みそ ペーストタイプ,122.0,8.9,3.7,15.4,層2裏方
砂糖(上白糖),03003,（砂糖類） 車糖 上白糖,391.0,0.0,0.0,99.3,層2裏方
本みりん,16025,＜アルコール飲料類＞ （混成酒類） みりん 本みりん,241.0,0.3,0.0,43.2,層2裏方
料理酒(清酒),16001,＜アルコール飲料類＞ （醸造酒類） 清酒 普通酒,107.0,0.4,0.0,4.9,層2裏方
穀物酢,17015,＜調味料類＞ （食酢類） 穀物酢,25.0,0.1,0.0,2.4,層2裏方
米酢,17016,＜調味料類＞ （食酢類） 米酢,46.0,0.2,0.0,7.4,層2裏方
すし酢,17103,＜調味料類＞ （調味ソース類） すし酢 巻き寿司・箱寿司用,107.0,0.1,0.0,23.8,層2裏方
めんつゆ(ストレート),17029,＜調味料類＞ （だし類） めんつゆ ストレート,44.0,2.2,0.0,8.7,層2裏方
めんつゆ(3倍濃縮),17030,＜調味料類＞ （だし類） めんつゆ 三倍濃縮,98.0,4.5,0.0,20.0,層2裏方
かつおだし,17019,＜調味料類＞ （だし類） かつおだし 荒節,2.0,0.4,0.0,0.0,層2裏方
昆布だし,17020,＜調味料類＞ （だし類） 昆布だし 水出し,4.0,0.1,0.0,0.9,層2裏方
かつお昆布だし,17021,＜調味料類＞ （だし類） かつお・昆布だし 荒節・昆布だし,2.0,0.3,0.0,0.3,層2裏方
