品名,材料合計g,kcal,P,F,C
雑穀米 茶碗1杯,150,233,3.8,0.6,55.4
雑炊 1杯,310,233,7.0,2.9,46.3
おにぎり(鮭) 1個,112,185,5.4,0.8,39.4
おにぎり(ツナマヨ) 1個,114,223,4.5,5.5,39.6
おにぎり(梅) 1個,113,181,2.9,0.4,42.1
おにぎり(昆布) 1個,108,182,3.2,0.4,42.1
おにぎり(明太子) 1個,110,182,4.8,0.6,39.7
おにぎり(おかか) 1個,104,178,4.4,0.4,39.6
総菜パン(焼きそばパン) 1個,125,311,9.0,9.4,51.4
サンドイッチ(ハムレタス) 1人前,137,348,12.0,15.9,42.9
サンドイッチ(たまご) 1人前,141,348,13.2,15.4,43.2
ホットドッグ 1個,120,317,10.7,18.6,29.6
フレンチトースト 1枚,123,238,8.4,10.0,30.9
たこ焼き 6個,127,195,10.9,5.2,26.6
ピザ(マルゲリータ) 1切れ,86,217,8.1,8.6,28.1
ピザトースト 1枚,129,273,12.0,10.9,33.9
卵かけごはん 1杯,210,316,10.8,6.1,56.3
お茶漬け 1杯,236,251,5.1,0.7,58.0
カレーライス 1人前,404,592,16.5,17.4,101.3
カレー(ルーのみ) 1人前,240,316,13.9,18.8,30.2
キーマカレー 1人前,395,657,21.2,27.5,89.6
バターチキンカレー 1人前,378,617,20.1,25.2,84.7
スープカレー 1人前,395,517,20.6,17.7,78.6
ハヤシライス 1人前,359,634,17.4,24.8,92.1
牛丼 並盛1杯,370,589,18.9,14.6,100.4
牛丼(具のみ) 1人前,133,219,13.0,13.9,12.0
親子丼 1杯,400,536,19.4,9.0,98.0
カツ丼 1杯,415,842,31.7,37.1,103.5
豚丼 1杯,358,670,17.2,25.9,97.4
天丼 1杯,383,672,24.1,17.2,111.0
海鮮丼 1杯,348,535,28.5,8.4,90.4
鉄火丼 1杯,330,480,28.1,2.1,90.9
ねぎとろ丼 1杯,333,519,25.5,7.7,90.9
うな丼 1杯,352,675,29.4,21.7,95.6
中華丼 1杯,420,490,16.4,6.5,95.9
麻婆丼 1杯,420,562,20.0,13.0,95.9
ロコモコ丼 1人前,435,700,27.8,22.6,102.9
タコライス 1人前,396,617,21.6,17.9,97.9
ガパオライス 1人前,455,694,29.3,24.3,97.2
オムライス 1人前,412,666,24.7,27.0,85.4
チキンライス 1人前,301,469,12.4,11.2,83.6
ドリア 1人前,355,532,15.2,19.0,78.5
リゾット 1人前,274,413,11.1,15.2,62.6
ビビンバ 1人前,460,711,24.5,26.5,101.9
ルーロー飯 1杯,400,779,25.1,34.3,97.9
寿司(にぎり10貫) 1人前,334,511,29.4,10.4,79.3
いなり寿司 1個,61,133,4.6,5.3,17.8
巻き寿司(太巻き) 1切れ,48,71,3.0,0.7,14.4
ちらし寿司 1人前,343,514,24.5,8.1,90.6
天津飯 1杯,444,645,21.6,19.2,99.6
かけうどん 1杯,435,308,10.4,0.9,67.5
きつねうどん 1杯,468,421,16.6,9.5,71.9
肉うどん 1杯,507,443,19.4,10.8,72.2
天ぷらうどん 1杯,475,386,18.4,5.0,70.1
カレーうどん 1杯,474,516,15.3,18.4,78.3
焼きうどん 1人前,378,461,13.8,21.2,58.9
ざるそば 1人前,292,371,13.9,2.8,74.0
かけそば 1杯,445,419,16.5,2.6,83.7
月見そば 1杯,500,497,23.2,8.2,83.9
天ぷらそば 1杯,485,497,24.5,6.7,86.3
鴨南蛮そば 1杯,530,543,26.9,11.1,85.8
山かけそば 1杯,491,452,17.6,2.9,90.6
そうめん 1人前,270,299,9.6,1.0,67.1
醤油ラーメン 1杯,576,514,22.3,18.9,70.3
味噌ラーメン 1杯,593,484,21.6,13.7,76.6
塩ラーメン 1杯,569,478,20.6,16.1,69.2
とんこつラーメン 1杯,568,567,21.9,25.6,69.1
つけ麺 1人前,599,731,28.7,24.5,108.3
担々麺 1杯,583,636,27.1,29.2,75.6
冷やし中華 1人前,394,474,20.3,8.5,85.0
焼きそば 1人前,327,530,16.4,23.4,73.2
あんかけ焼きそば 1人前,378,474,19.9,17.3,68.1
ちゃんぽん 1杯,640,513,25.3,16.6,73.0
沖縄そば 1杯,559,522,22.3,19.7,69.7
ミートソーススパゲッティ 1人前,356,495,19.0,12.4,84.0
ナポリタン 1人前,345,565,18.2,19.9,86.2
カルボナーラ 1人前,330,622,27.8,27.4,73.3
ペペロンチーノ 1人前,252,475,15.6,16.2,72.9
たらこスパゲッティ 1人前,266,470,20.5,14.5,71.4
和風きのこパスタ 1人前,324,468,17.7,13.9,75.8
トマトソースパスタ 1人前,336,454,13.9,12.2,78.5
ジェノベーゼ 1人前,268,597,18.7,28.6,72.9
ラザニア 1人前,303,403,16.8,14.7,55.2
グラタン(マカロニ) 1人前,297,428,17.1,20.7,47.1
ビーフン(焼き) 1人前,198,391,8.9,16.3,54.0
フォー 1杯,436,324,18.1,3.0,57.6
パッタイ 1人前,209,468,16.9,16.4,65.2
冷麺(盛岡風) 1人前,478,401,17.8,4.7,78.2
皿うどん 1人前,325,459,16.8,23.0,53.1
味噌汁(豆腐・わかめ) 1杯,196,38,3.2,1.4,4.0
味噌汁(なめこ) 1杯,195,30,2.5,0.7,4.3
けんちん汁 1杯,274,69,3.4,4.5,5.0
すまし汁 1杯,181,11,1.4,0.0,1.3
あら汁 1杯,277,119,11.0,7.8,4.0
ミネストローネ 1杯,242,81,4.2,4.4,7.8
クラムチャウダー 1杯,212,169,7.6,10.2,15.2
オニオンスープ 1杯,206,64,2.6,4.2,5.3
わかめスープ 1杯,177,39,2.0,3.3,0.9
卵スープ 1杯,192,56,4.7,3.2,2.1
参鶏湯風スープ 1人前,361,195,17.6,11.3,8.9
寄せ鍋 1人前,443,198,19.1,9.3,10.9
水炊き 1人前,460,197,16.1,12.0,7.9
しゃぶしゃぶ(豚) 1人前,355,299,20.1,19.9,11.4
すき焼き 1人前,353,462,26.4,29.4,24.0
キムチ鍋 1人前,408,285,15.9,21.7,10.2
スンドゥブチゲ 1人前,383,240,15.6,17.8,6.9
もつ鍋 1人前,362,246,14.1,19.0,7.1
おでん(定番5品) 1人前,405,281,14.0,6.2,46.1
湯どうふ鍋(1人鍋) 1人前,376,132,12.1,7.4,6.0
鶏の唐揚げ 1個,30,92,7.3,5.4,4.0
鶏の照り焼き 1人前,119,250,17.2,17.2,6.7
焼き鳥(もも・タレ) 1本,45,81,6.5,5.4,2.0
焼き鳥(もも・塩) 1本,44,84,7.3,6.2,0.0
焼き鳥(ねぎま) 1本,46,65,5.0,4.0,2.7
